Price,Close,High,Low,Open,Volume,MA20,MA60,BB_Upper,BB_Lower,MACD,Signal,RSI
Ticker,051910.KS,051910.KS,051910.KS,051910.KS,051910.KS,,,,,,,
Date,,,,,,,,,,,,
2024-06-12,370118.96875,374602.2402422611,366631.9798115747,370118.96875,234425,,,,,0.0,0.0,
2024-06-13,365635.6875,376096.6540361035,365635.6875,376096.6540361035,393893,,,,,-357.64066951564746,-71.5281339031295,
2024-06-14,359658.0,365635.6952908587,354676.58725761774,363643.1301939058,448269,,,,,-1110.620360224275,-279.3465791673586,
2024-06-17,353680.28125,356669.1286971831,351687.71628521127,355672.84621478873,322322,,,,,-2164.760128041962,-656.4292889422793,
2024-06-18,350193.3125,357665.4315433855,349695.17123044096,356669.1490042674,208142,,,,,-3244.1462267248426,-1173.972676498792,
2024-06-19,358163.5625,360654.2687760779,349197.0199061196,351687.7261821975,306960,,,,,-3417.045349889726,-1622.587211176979,
2024-06-20,360156.125,364639.3962655602,356669.1362378977,358163.55999308435,269674,,,,,-3354.616083424771,-1968.9929856265376,
2024-06-21,354178.4375,363144.980221519,354178.4375,359657.9913853727,250301,,,,,-3744.3275859559653,-2324.0599056924234,
2024-06-24,354676.5625,357665.40993679775,351687.71506320225,353680.2800210674,163598,,,,,-3967.2502436546492,-2652.6979732848686,
2024-06-25,349695.15625,358661.69871794875,349695.15625,358163.55746972933,201226,,,,,-4494.071055314271,-3020.972589690749,
2024-06-26,350691.4375,353182.1437322443,346706.3075284091,349197.01376065344,180895,,,,,-4776.132491169381,-3372.0045699864754,
2024-06-27,342721.1875,352185.8714571221,341226.76371729653,348698.8826308139,241552,,,,,-5578.495354119397,-3813.30272681306,
2024-06-28,344215.625,345710.0488422576,335249.0819464544,342721.2011577424,221160,,,,,-6024.3402427085675,-4255.510229992162,
2024-07-01,354178.4375,356171.00254922645,339732.34089310834,344215.6122538678,245435,,,,,-5510.241192541027,-4506.456422501935,37.096755425794406
2024-07-02,351687.71875,357167.2724415722,350193.29501593485,352684.0012393768,196964,,,,,-5243.352079816628,-4653.835553964874,35.6588887170614
2024-07-03,358661.71875,368126.4029947917,355672.87109375,356669.1536458334,352143,,,,,-4418.167138738441,-4606.701870919587,44.776124294192634
2024-07-04,360654.28125,364639.411429558,356171.00979799725,363144.9876122238,178230,,,,,-3562.354382751335,-4397.832373285937,50.7936500033607
2024-07-05,359658.0,363643.1301939058,356669.15235457063,363144.98891966755,156023,,,,,-2930.724609453755,-4104.410820519501,55.17243803603809
2024-07-08,359159.84375,366133.8212985437,356669.137482663,359657.9850034674,167941,,,,,-2442.1983670188347,-3771.9683298193677,58.181808849603954
2024-07-09,361152.40625,363144.97125,358163.55874999997,361152.40625,200811,355946.8375,,369365.9355428475,342527.73945715255,-1872.6677113559563,-3392.1082061266857,53.06122057060334
2024-07-10,354676.5625,360156.11613412923,352683.99754213484,359657.9748946629,225609,355174.7171875,,366820.2160895224,343529.21828547755,-1921.7048163339496,-3098.027528168139,44.8598059609436
2024-07-11,365137.53125,369620.8024386085,353182.1414137108,356669.13011596183,479591,355149.809375,,366702.86473208375,343596.7540179163,-1103.731196971028,-2699.1682619287167,59.48274323576701
2024-07-12,366133.8125,369620.8011904762,360654.2588435374,361152.400085034,211244,355473.6,,367889.42100183095,343057.778998169,-370.81511402886827,-2233.497632348747,59.829054788042306
2024-07-15,357665.4375,367130.12177924794,355672.8723885794,366631.9805013928,272945,355672.8578125,,368095.4093677678,343250.30625723215,-467.9071844983846,-1880.3795427786747,56.45162840700689
2024-07-16,340230.46875,357665.4122437774,339732.3275073206,356669.1297584187,471069,355174.715625,,369215.9934141859,341133.43783581414,-1929.4679128206917,-1890.197216787078,43.31210394687579
2024-07-17,334252.78125,342721.1825633383,332758.35748882266,340230.4762947094,382543,353979.1765625,,370754.5086942971,337203.8444307029,-3529.4296753202216,-2218.0437084937066,44.444444444444436
2024-07-18,332260.21875,338237.913839955,330765.7949775112,333754.6425224888,201812,352584.38125,,371676.1554820926,333492.6070179074,-4901.6904046253185,-2754.7730477200294,42.20778453675818
2024-07-19,332260.21875,332260.21875,324788.0998875562,331263.9362350075,303750,351488.4703125,,372604.01911653136,330372.9215084687,-5920.963734939869,-3388.011185163997,33.58209688904327
2024-07-22,318810.40625,331762.0790039063,317814.12373046874,331263.9377441406,276341,349695.1625,,375288.0821089472,324102.24289105274,-7724.983851454803,-4255.405718422158,28.846167766240043
2024-07-23,311338.28125,323293.67125,310341.99874999997,321799.2475,365796,347777.31875,,378587.18092110206,316967.4565788979,-9646.422873209172,-5333.609149379561,19.745215294754146
2024-07-24,308847.59375,317315.99551411293,307851.31118951616,307851.31118951616,310446,345685.1265625,,381013.39814194926,310356.8549830508,-11240.580393122626,-6515.003398128174,17.08860709234726
2024-07-25,311836.4375,316817.85023961664,298386.62310303515,304364.31839057506,358228,344140.8890625,,382577.898634866,305703.87949013396,-12123.040140711586,-7636.610746644857,20.37036606768062
2024-07-26,305858.71875,311338.272343241,300877.30639250815,311338.272343241,269526,342223.04375,,384299.72553741134,300146.3619625887,-13153.126736221835,-8739.913944560252,19.07513843007422
2024-07-29,306855.0,308847.56493506493,299881.0227272727,306356.8587662338,177920,339856.871875,,384355.5191773954,295358.22457260464,-13730.806029157538,-9738.09236147971,18.128650036374253
2024-07-30,303866.15625,310840.1336065574,301873.5912909836,303368.0150102459,213468,337465.79375,,384362.39498966344,290569.1925103366,-14265.35362585471,-10643.54461435471,18.902436458709886
2024-07-31,304364.3125,308847.58387888706,301873.6061783961,304862.45376432076,166216,334750.9234375,,382754.5716437433,286747.27523125673,-14481.851630379737,-11411.206017559718,7.638900687669221
2024-08-01,312832.71875,317315.99019705417,304364.31712778663,304364.31712778663,234675,332359.8453125,,379690.1344995808,285029.5561254193,-13810.894848963362,-11891.143783840447,16.35221813163163
2024-08-02,307353.15625,312832.71008914104,304364.30870137765,306855.0149918963,184521,329744.603125,,376500.627715298,282988.5785347021,-13564.943440743082,-12225.903715220975,16.99347369983448
2024-08-05,271487.0,303368.04220183485,262520.45688073395,301375.4770642202,739306,325360.9609375,,376718.2507554296,274003.6711195704,-16078.778095946647,-12996.478591366109,13.6842254710686
2024-08-06,288423.78125,294401.4761981865,276468.3913536269,279955.3800734024,522030,321724.5296875,,372709.18852325657,270739.8708517434,-16513.990468588134,-13699.980966810515,28.301882884189155
2024-08-07,288921.9375,294401.491487069,280951.67715517245,281449.8184267242,234689,318436.7984375,,368952.68103868986,267920.9158363102,-16627.03623953421,-14285.392021355256,29.18660847186416
2024-08-08,275472.125,287427.515596745,275472.125,282944.24412296567,513713,313953.528125,,362909.6176674274,264997.4385825726,-17599.042484696663,-14948.122114023538,25.847463146235086
2024-08-09,284936.8125,287925.66018356645,277464.6932910839,278959.11713286716,266416,309893.678125,,353840.67708454945,265946.6791654505,-17405.00914418639,-15439.49952005611,35.08772605620841
2024-08-12,288921.9375,291910.7851293104,284936.8073275862,284936.8073275862,116247,306456.503125,,345105.3905735818,267807.6156764182,-16736.739328753145,-15698.947481795518,39.81901043329913
2024-08-13,287427.5,290914.48873483535,282446.08752166375,287925.6412478336,149417,303816.3546875,,339878.4733462937,267754.2360287063,-16141.648426875181,-15787.487670811452,40.18264238500706
2024-08-14,294899.625,296394.0487753378,291910.7774493243,292408.91870777024,135332,301848.696875,,335103.57026965177,268593.8234803483,-14895.391755297082,-15609.068487708577,42.543858200988325
2024-08-16,291412.625,300877.30854700855,291412.625,299881.0260683761,178695,299806.3171875,,330080.8018726405,269531.8325023595,-14027.397021094279,-15292.734194385717,43.49776087513648
