Price,Close,High,Low,Open,Volume,MA20,MA60,BB_Upper,BB_Lower,MACD,Signal,RSI
Ticker,000660.KS,000660.KS,000660.KS,000660.KS,000660.KS,,,,,,,
Date,,,,,,,,,,,,
2024-06-12,213985.265625,214980.54593023256,210004.14440406978,210999.42470930234,2151331,,,,,0.0,0.0,
2024-06-13,220952.21875,225430.97994087837,217966.37795608107,224933.33980855855,5777279,,,,,555.7683404558338,111.15366809116676,
2024-06-14,219956.953125,223938.0744485294,214980.55147058822,223938.0744485294,3311223,,,,,905.471425252239,270.01721952338124,
2024-06-17,221947.515625,228416.83782931615,217966.39426849777,217966.39426849777,2198340,,,,,1327.9278714573302,481.5993499101711,
2024-06-18,233393.234375,233393.234375,225928.63199626864,225928.63199626864,3136231,,,,,2556.8279746498447,896.6450748581058,
2024-06-19,232397.953125,241853.11610010706,230407.39249866168,233890.87359475374,3758652,,,,,3411.1081498046988,1399.5376898474246,
2024-06-20,236379.078125,237374.35845394735,229909.7559868421,232397.95680921053,2927358,,,,,4359.125573076395,1991.455266493219,
2024-06-21,232895.59375,233393.23390758547,228914.47248931625,229412.11264690172,3848394,,,,,4774.312828368129,2548.0267788682013,
2024-06-24,221947.515625,228914.47799887892,218961.67460762334,226923.9173206278,5080726,,,,,4171.84290355831,2872.7900038062235,
2024-06-25,223938.0625,223938.0625,213985.25972222222,214482.89986111113,5730999,,,,,3811.070002028602,3060.446003450699,
2024-06-26,235881.4375,237374.35799050634,226426.27439345993,226923.91455696203,5166862,,,,,4437.730036419525,3335.9028100444643,
2024-06-27,235682.125,238173.47938689217,226713.24920718814,228706.3327167019,3763005,,,,,4862.23100311993,3641.1684486595577,
2024-06-28,235682.125,236678.66675475688,231695.9579809725,234685.58324524312,2368287,,,,,5139.407190670114,3940.8161970616693,
2024-07-01,234685.578125,235682.11985801486,231197.68205944798,232692.49465897027,1709955,,,,,5218.502661649109,4196.3534899791575,68.50348611142148
2024-07-02,231197.6875,236180.3962823276,229702.8748653017,234685.5836476293,2343947,,,,,4942.765642767685,4345.6359205368635,64.4826847254049
2024-07-03,235183.859375,235183.859375,224221.89982786018,230201.15048993644,3315677,,,,,4988.389773071249,4474.18669104374,62.60701062320496
2024-07-04,229204.609375,239668.2980638587,224221.9004755435,239668.2980638587,7599882,,,,,4490.3102196273685,4477.411396760466,57.527312500794885
2024-07-05,235183.859375,236678.67204051907,226713.25427039195,227709.79604740467,4041293,,,,,4525.882532802352,4487.105623968844,60.117048907640665
2024-07-08,232692.5,236180.39614561028,231695.95824411136,233190.77087794433,2309023,,,,,4303.434651012911,4450.3714293776575,49.37946012602023
2024-07-09,237675.203125,240166.55745545073,232194.2235980084,234685.57792845913,4810781,230043.11875,,243922.46591411158,216163.7715858884,4477.590723388537,4455.815288179834,54.36503648989775
2024-07-10,238173.46875,238173.46875,233190.76019874477,236678.65618462343,2579373,231252.52890625,,243340.0762583745,219164.9815541255,4602.758798914903,4485.203990326849,51.57495983777671
2024-07-11,240166.5625,247640.62564834024,240166.5625,241661.37512966804,5336097,232213.24609375,,243901.48453659858,220525.00765090142,4807.36509684677,4549.636211630834,56.55327459530528
2024-07-12,232194.21875,235183.84388412017,229204.59361587983,231197.6770386266,4972976,232825.109375,,242994.3816795078,222655.8370704922,4276.913947399124,4495.091758784492,59.75874455023457
2024-07-15,229204.609375,234685.58916440216,225716.71314538043,234187.3182744565,3301380,233187.9640625,,242171.80540700624,224204.12271799374,3574.091199855815,4310.891646998757,54.922082614012425
2024-07-16,232194.21875,234187.30217274677,223225.3433476395,225716.69762607294,3982189,233128.01328125,,242122.08369179745,224133.94287070254,3221.2035705856106,4092.9540317161277,45.861280589398596
2024-07-17,219737.453125,229204.59963151926,219737.453125,228706.3287627551,6051510,232494.98828125,,243304.3690762706,221685.6074862294,1914.3136850254086,3657.225962377984,35.96490383544183
2024-07-18,211765.125,214256.4794117647,208277.2288235294,211765.125,8847665,231264.290625,,245326.94464484518,217201.6366051548,232.61237229272956,2972.303244360933,31.53845560076533
2024-07-19,208775.484375,213259.92198687352,206284.1301461814,207778.94268347256,4519170,230058.28515625,,247307.83376203084,212808.73655046916,-1326.1005849456124,2112.6224784996243,30.597004097660516
2024-07-22,204291.0625,208775.50045731707,199806.62454268293,208277.22957317074,6662441,229175.4625,,249674.11749012646,208676.80750987353,-2889.933842497645,1112.1112143001706,30.147052720023396
2024-07-23,204291.0625,208775.50045731707,199806.62454268293,207778.95868902438,5976519,228193.1125,,251446.5371128455,204939.6878871545,-4082.2256101809035,73.24384940395578,25.781236028029554
2024-07-24,207778.96875,211765.13601618705,199308.3633093525,201301.44694244603,4838734,226787.9890625,,251439.53039711426,202136.44772788577,-4691.598711810977,-879.7246628390309,32.520324995978214
2024-07-25,189342.9375,198112.50513157895,188346.3957236842,195521.49651315788,12503762,224471.0296875,,253858.56032588103,195083.49904911898,-6586.242823209934,-2021.0282949132115,18.918913192394044
