Price,Close,High,Low,Open,Volume,MA20,MA60,BB_Upper,BB_Lower,MACD,Signal,RSI
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS,,,,,,,
Date,,,,,,,,,,,,
2024-06-12,74778.1875,75364.6830882353,73507.44705882353,73605.19632352941,19246725,,,,,0.0,0.0,
2024-06-13,76830.9140625,77221.91108062977,76048.92002624046,76635.41555343512,33763804,,,,,163.75026709403028,32.750053418806054,
2024-06-14,77808.40625,78688.14953674623,77221.91072550252,77906.15550408291,22926612,,,,,368.1551207478042,99.83106688460569,
2024-06-17,76342.1640625,77710.65355913893,76244.41481274007,77417.40580985915,16123051,,,,,407.14068491246144,161.29299049017686,
2024-06-18,78003.9140625,78394.91112546992,76830.92287359023,76928.6721393327,18207598,,,,,565.6064040168421,242.1556731955099,
2024-06-19,79372.3984375,80643.13880657328,78688.15362338362,79274.64917834052,24168863,,,,,792.4816451497172,352.2208675863514,
2024-06-20,79763.3828125,80349.87827435663,79372.38583792893,79665.63356885723,20288913,,,,,992.3914093404164,480.25497593716443,
2024-06-21,78199.4140625,78981.408203125,78199.4140625,78883.65893554688,17907523,,,,,1012.9455247680016,586.7930857033318,
2024-06-24,78785.8984375,79079.14619843362,77710.65664741005,77906.15515469914,15454227,,,,,1064.290716060059,682.2926117746772,
2024-06-25,78981.3984375,79958.89099241955,78297.15364905632,78785.89992651608,19088458,,,,,1107.9852025018918,767.4311299201202,
2024-06-26,79470.1484375,79567.89769757072,78101.65879650984,78297.1573166513,17783242,,,,,1168.5807664947351,847.6610572350431,
2024-06-27,80119.1484375,80119.1484375,79039.1108972886,79824.59274471508,11739720,,,,,1254.5108435091388,929.0310144898624,
2024-06-28,80020.9765625,80413.7175517638,79333.67983128835,80413.7175517638,9455929,,,,,1299.7071834092203,1003.166248273734,
2024-07-01,80315.5234375,80610.07914692847,79824.5972551192,80020.96772807151,11317202,,,,,1343.8025601581758,1071.2935106506225,73.47502227344839
2024-07-02,80315.5234375,81101.0053293093,80020.96772807151,81002.82009283312,14471904,,,,,1363.0362307146715,1129.6420546634324,73.47502227344839
2024-07-03,80315.5234375,80806.4496198808,79530.0415456907,80806.4496198808,11440328,,,,,1362.572169404637,1176.2280776116734,67.88561355558122
