Price,Close,High,Low,Open,Volume,MA20,MA60,BB_Upper,BB_Lower,MACD,Signal,RSI
Ticker,035720.KS,035720.KS,035720.KS,035720.KS,035720.KS,,,,,,,
Date,,,,,,,,,,,,
2024-06-12,42985.08984375,43534.26056184669,42685.54217933363,43084.93906522213,1047526,,,,,0.0,0.0,
2024-06-13,43584.1875,44033.509020618556,43084.94136597938,43284.63981958763,2477617,,,,,47.79126602564065,9.55825320512813,
2024-06-14,43833.80859375,44133.356260677676,42985.09020412158,43184.78864874004,1154685,,,,,104.60272960954171,28.567148486010847,
2024-06-17,42336.0703125,43684.034815374405,42086.447256412146,43434.41175928655,1321022,,,,,28.443384003083338,28.542395589425347,
2024-06-18,42236.22265625,42935.16723921395,42136.3734301123,42435.921108525414,871491,,,,,-39.514815292612184,14.93095341301784,
2024-06-19,42735.46875,42735.46875,41736.97648948598,42435.9210718458,1430015,,,,,-52.48220822749863,1.4483210849145447,
2024-06-20,42336.0703125,42735.467202240565,42136.371867629714,42485.84414615271,783732,,,,,-93.90460274084762,-17.62226368023789,
2024-06-21,43084.94140625,43084.94140625,42336.072204519114,42385.99681796784,2111727,,,,,-65.54890318302932,-27.207591580796176,
2024-06-24,41986.59765625,42885.240650081745,41986.59765625,42735.466817776454,891039,,,,,-130.20306845045707,-47.80668695472836,
2024-06-25,40938.18359375,42236.22356135671,40938.18359375,42186.29894721799,1607274,,,,,-263.00841581439454,-90.84703272666161,
2024-06-26,41537.27734375,42036.52346567007,40438.93587552584,40588.70971210186,1244850,,,,,-316.2699880703076,-135.9316237953908,
2024-06-27,40339.0859375,41237.72894105817,40339.0859375,41038.03049582302,1203554,,,,,-449.9771441759949,-198.74072787151164,
2024-06-28,40588.7109375,41187.80630189114,40289.163255304426,40588.7109375,936191,,,,,-529.692412986129,-264.9310648944351,
2024-07-01,40938.18359375,41087.95743616616,40189.31438166921,40239.23899580793,714241,,,,,-558.2328542848263,-323.5914227725134,38.15030967019469
2024-07-02,39939.69140625,40738.485234375,39889.76679199219,40538.78677734375,1130668,,,,,-653.8837693560636,-389.6498920892235,34.196911146822686
2024-07-03,40039.5390625,40938.18208385287,39939.689837905236,40039.5390625,1173859,,,,,-713.4072228949954,-454.40135825037794,30.60108565340157
