"date","open","high","low","close","volume"
2024-04-19,45550,52600,45550,47550,791666
2024-04-18,41150,52900,41150,45300,826046
2024-04-17,40600,41950,40600,40900,19268
2024-04-16,41800,42800,40950,41100,31432
2024-04-15,43200,43400,42400,42450,14482
2024-04-12,44000,44150,43100,43600,15937
2024-04-11,44050,44950,43000,44050,10479
2024-04-09,44250,45500,44250,44850,15397
2024-04-08,45400,45400,41700,44850,21907
2024-04-05,45300,45750,44400,44750,25101
2024-04-04,45750,46100,45150,45750,27694
2024-04-03,47150,47550,45700,45700,42078
2024-04-02,47900,48350,47250,47550,26110
2024-04-01,47750,48400,47200,48350,16629
2024-03-29,48500,48700,47400,47750,21559
2024-03-28,48900,49300,48400,48500,38727
2024-03-27,49750,50400,49250,49400,24506
2024-03-26,50000,50300,49550,49700,15746
2024-03-25,49600,50300,49600,50000,16225
2024-03-22,50100,50800,50100,50100,10189
2024-03-21,50600,50800,50000,50400,16365
2024-03-20,50000,50600,49800,50100,16736
2024-03-19,49550,51000,49350,50300,28459
2024-03-18,49250,49900,48900,49550,16343
2024-03-15,50500,50500,49250,49250,22763
2024-03-14,49950,50500,49450,50300,22226
2024-03-13,50200,50300,49300,49450,16842
2024-03-12,48850,50400,48800,50000,26143
2024-03-11,48100,49200,48000,48850,13943
2024-03-08,48800,49450,48500,48650,17392
2024-03-07,49500,49650,48600,48800,27911
2024-03-06,49300,50300,49300,49300,19294
2024-03-05,49800,50400,49800,49850,22661
2024-03-04,49400,50500,49400,50500,24766
2024-02-29,49300,49450,48950,49350,12943
2024-02-28,49050,50600,49050,49300,21702
2024-02-27,50100,50400,49000,49250,27765
2024-02-26,50100,51000,50000,50000,19233
2024-02-23,51500,51500,50000,50600,30390
2024-02-22,51400,52000,51300,51700,17794
2024-02-21,51300,51800,51000,51400,25445
2024-02-20,52100,52100,51200,51800,21919
2024-02-19,51800,52400,51600,52200,21868
2024-02-16,52800,53300,52100,52100,41909
2024-02-15,51900,52700,51500,52100,33084
2024-02-14,51500,51900,51100,51800,23260
2024-02-13,51300,52300,51100,52000,21455
2024-02-08,52000,52700,51500,51600,27552
2024-02-07,51100,52600,51100,51900,34342
2024-02-06,51000,51400,50200,51000,20090
2024-02-05,52500,52500,51300,51500,23459
2024-02-02,51000,52600,49650,52200,72133
2024-02-01,49400,50900,49200,50600,36763
2024-01-31,49650,50500,49500,49900,27968
2024-01-30,49950,50600,49500,49650,32509
2024-01-29,49200,50300,48950,49700,30566
2024-01-26,47850,49700,47850,49300,25422
2024-01-25,47800,49200,47350,48500,32933
2024-01-24,47350,49400,47350,48400,39997
2024-01-23,47000,48050,47000,47350,23695
2024-01-22,49200,49300,47100,47350,51207
2024-01-19,50100,50500,49000,49100,38304
2024-01-18,49000,50400,48750,49900,27328
2024-01-17,50800,50900,49350,49400,50009
2024-01-16,50600,51900,50500,51300,29892
2024-01-15,52200,52300,51000,51300,32136
2024-01-12,53600,53700,52100,52300,28028
2024-01-11,52700,54300,52700,53300,39049
2024-01-10,53600,53600,52500,52500,29670
2024-01-09,54600,54700,53500,53600,43959
2024-01-08,54500,55200,53900,54100,52574
2024-01-05,55200,56800,54600,54600,110216
2024-01-04,54800,55300,53900,54300,75246
2024-01-03,54600,59600,54200,55500,417291
2024-01-02,56600,56900,54700,55000,128106
2023-12-28,59900,60200,54900,56600,396630
2023-12-27,50400,64100,50400,58100,2336606
2023-12-26,50600,51100,49700,50700,44748
2023-12-22,51900,52700,50700,50700,49393
2023-12-21,50400,54300,50400,51900,173780
2023-12-20,51600,52000,51000,51100,35101
2023-12-19,51800,51800,50800,51600,39773
2023-12-18,51600,53800,50700,51600,106916
2023-12-15,50500,51500,50100,51000,49807
2023-12-14,49650,50700,49650,49900,35878
2023-12-13,49900,49900,49200,49200,26813
2023-12-12,50300,50700,49650,50200,23851
2023-12-11,50300,50900,49500,50300,23706
2023-12-08,49500,50700,49000,50300,36199
2023-12-07,49950,50800,49100,49200,17755
2023-12-06,48850,50100,48650,49550,35444
2023-12-05,50200,50600,48850,49000,51085
2023-12-04,51700,52000,50300,50600,43446
2023-12-01,52600,52800,51100,51300,41550
2023-11-30,52100,53000,51800,52800,33058
2023-11-29,52500,52600,51100,52300,38851
2023-11-28,51800,52600,51500,51800,33939
2023-11-27,52700,53300,51800,51800,37987
2023-11-24,52100,53700,52100,53100,37080
2023-11-23,52500,53500,52300,52400,37140
2023-11-22,52400,53200,52000,52400,25697
2023-11-21,53000,53100,52000,52900,38656
2023-11-20,51600,53200,51600,52700,37113
2023-11-17,52400,52400,50800,51500,45851
2023-11-16,53300,53600,52400,52800,35012
