Date,Open,High,Low,Close,Volume
2022-01-03,182.63,182.88,177.71,182.01,104487900
2022-01-04,182.63,182.94,179.12,179.70,99310400
2022-01-05,179.61,180.17,174.64,174.92,94537600
2022-01-06,172.70,175.30,171.64,172.00,96904000
2022-01-07,172.89,174.14,171.03,172.17,86709100
2022-01-10,169.08,172.50,168.17,172.19,106765600
2022-01-11,172.32,175.18,170.82,175.08,76138300
2022-01-12,176.12,177.78,175.52,175.53,74805200
2022-01-13,175.78,176.62,171.79,172.19,84505800
2022-01-14,171.34,173.78,171.08,173.07,80440800
2022-01-18,171.51,172.54,169.41,169.80,90956700
2022-01-19,170.00,170.88,168.06,166.23,94815000
2022-01-20,166.98,169.68,164.17,164.51,91420000
2022-01-21,164.42,166.33,162.30,162.41,122848900
2022-01-24,160.02,162.30,154.70,161.62,162294600
2022-01-25,158.98,162.76,157.02,159.78,115798400
2022-01-26,163.51,164.85,157.25,159.69,108275300
2022-01-27,159.56,161.36,157.82,159.22,189273000
2022-01-28,165.71,170.35,162.80,170.33,179935500
2022-01-31,170.16,175.00,169.51,174.78,115541600
