Date,Open,High,Low,Close,Volume
2022-01-03,2889.76,2904.80,2878.20,2904.80,1456300
2022-01-04,2904.80,2925.00,2895.74,2925.00,1675400
2022-01-05,2925.00,2950.37,2915.12,2950.37,1534600
2022-01-06,2948.58,2975.19,2940.11,2975.19,1687500
2022-01-07,2975.19,3001.00,2967.25,3001.00,1423800
2022-01-10,2998.32,3024.35,2990.67,3024.35,1598700
2022-01-11,3024.35,3050.12,3016.48,3050.12,1398600
2022-01-12,3050.12,3075.89,3042.75,3075.89,1287500
2022-01-13,3072.46,3098.24,3064.12,3098.24,1365400
2022-01-14,3098.24,3124.56,3090.87,3124.56,1298700
2022-01-18,3121.29,3147.82,3113.95,3147.82,1456800
2022-01-19,3147.82,3174.39,3140.26,3174.39,1365900
2022-01-20,3174.39,3201.15,3166.83,3201.15,1432600
2022-01-21,3198.92,3225.78,3191.46,3225.78,1567800
2022-01-24,3222.51,3249.64,3215.18,3249.64,1687400
2022-01-25,3249.64,3276.82,3242.31,3276.82,1534700
2022-01-26,3276.82,3304.25,3269.49,3304.25,1465800
2022-01-27,3304.25,3331.74,3297.01,3331.74,1598600
2022-01-28,3331.74,3359.48,3324.51,3359.48,1687300
2022-01-31,3359.48,3387.12,3352.25,3387.12,1523400
