Date,Open,High,Low,Close,Volume
2022-01-03,335.00,337.89,334.30,336.63,22678500
2022-01-04,336.00,340.16,335.70,340.16,22945100
2022-01-05,340.16,344.30,339.51,344.30,21834600
2022-01-06,343.50,348.10,342.77,348.10,23789200
2022-01-07,348.10,352.47,347.31,352.47,21453800
2022-01-10,351.93,356.85,351.28,356.85,20562300
2022-01-11,356.85,361.35,355.97,361.35,19835400
2022-01-12,361.35,365.77,360.51,365.77,18976500
2022-01-13,364.90,368.95,363.22,368.95,19245600
2022-01-14,368.95,373.51,367.28,373.51,18654200
2022-01-18,372.56,377.44,371.23,377.44,19986700
2022-01-19,377.44,381.98,375.91,381.98,18765400
2022-01-20,381.98,386.15,380.21,386.15,19654800
2022-01-21,385.22,389.67,383.45,389.67,20456700
2022-01-24,388.74,393.95,387.11,393.95,21987600
2022-01-25,393.95,398.31,392.08,398.31,19876500
2022-01-26,398.31,402.88,396.54,402.88,20134600
2022-01-27,402.88,407.29,401.15,407.29,21765400
2022-01-28,407.29,412.16,405.82,412.16,22987500
2022-01-31,412.16,416.75,410.39,416.75,20654300
