Date,Open,High,Low,Close,Volume
2022-01-03,25.12,25.45,24.89,25.45,45678900
2022-01-04,25.45,25.78,25.21,25.78,43567800
2022-01-05,25.78,26.12,25.54,26.12,41234500
2022-01-06,26.12,26.45,25.87,26.45,39876400
2022-01-07,26.45,26.79,26.21,26.79,38567300
2022-01-10,26.79,27.14,26.54,27.14,42345600
2022-01-11,27.14,27.48,26.89,27.48,40123500
2022-01-12,27.48,27.83,27.23,27.83,38567400
2022-01-13,27.83,28.18,27.58,28.18,41234600
2022-01-14,28.18,28.54,27.93,28.54,39876500
2022-01-18,28.54,28.89,28.28,28.89,43567600
2022-01-19,28.89,29.25,28.63,29.25,42345700
2022-01-20,29.25,29.61,28.98,29.61,40123600
2022-01-21,29.61,29.98,29.34,29.98,44567800
2022-01-24,29.98,30.35,29.70,30.35,46789900
2022-01-25,30.35,30.72,30.07,30.72,43567600
2022-01-26,30.72,31.10,30.44,31.10,41234700
2022-01-27,31.10,31.48,30.82,31.48,45678800
2022-01-28,31.48,31.86,31.20,31.86,47890100
2022-01-31,31.86,32.25,31.58,32.25,44567600
