"date","open","high","low","close","volume"
2024-04-19,15450,16900,14780,14910,25115559
2024-04-18,15200,15390,14730,14750,4985978
2024-04-17,15700,16240,14660,15420,23662483
2024-04-16,13100,15500,12880,14770,40287706
2024-04-15,12600,13070,12500,12590,2319788
2024-04-12,12380,12810,12350,12590,1159829
2024-04-11,13700,13840,12600,12620,3770417
2024-04-09,12670,13340,12400,12890,4082715
2024-04-08,12260,12950,12260,12540,1878298
2024-04-05,13130,13200,12250,12300,2291223
2024-04-04,12340,12560,12200,12440,964165
2024-04-03,12730,13420,12320,12370,4746494
2024-04-02,12230,13000,12200,12240,3026780
2024-04-01,12360,12400,12120,12130,596360
2024-03-29,12470,12890,12360,12400,1190706
2024-03-28,12590,12920,12310,12400,1126011
2024-03-27,12670,13840,12530,12530,7042248
2024-03-26,12450,12770,12230,12590,1228267
2024-03-25,12430,12600,12240,12470,720129
2024-03-22,12860,12960,12480,12500,1277380
2024-03-21,12530,12840,12460,12670,1479098
2024-03-20,12860,13320,12420,12700,2594737
2024-03-19,12170,14100,12170,12810,15261528
2024-03-18,12400,12470,12050,12160,866520
2024-03-15,13840,14170,12190,12400,4020504
2024-03-14,14300,15180,13800,13800,9209754
2024-03-13,11640,15030,11630,14460,21460538
2024-03-12,11880,11880,11540,11680,528774
2024-03-11,12130,12530,11880,11890,1203748
2024-03-08,12360,12660,12010,12030,1232557
2024-03-07,12280,12890,11980,12360,2905436
2024-03-06,12530,13040,12230,12400,3045161
2024-03-05,12160,12850,11680,12100,2930372
2024-03-04,12000,12730,11750,12100,1312876
2024-02-29,11790,12560,11450,12090,2981633
2024-02-28,10940,12370,10940,11920,3839251
2024-02-27,11620,11630,10830,11150,1571218
2024-02-26,12100,12260,11510,11710,1319363
2024-02-23,12690,13400,12210,12310,2853964
2024-02-22,12960,13330,12690,12800,2047578
2024-02-21,14180,14510,13110,13140,3383270
2024-02-20,15340,15720,13810,13940,9759975
2024-02-19,11670,15240,11620,15240,16209260
2024-02-16,11530,11890,11450,11730,1233454
2024-02-15,12220,12270,11450,11480,1857285
2024-02-14,13800,14550,12320,12500,7277499
2024-02-13,12480,13440,12460,12700,3707466
2024-02-08,12670,13170,11950,12650,4789050
2024-02-07,12380,12790,12380,12700,961533
2024-02-06,13130,13550,13130,13510,1093575
2024-02-05,13230,13600,13130,13380,1330034
2024-02-02,13300,14500,12570,13620,14382493
2024-02-01,13910,16050,13200,13230,35883046
2024-01-31,10330,12810,10320,12810,40814928
2024-01-30,8840,10630,8660,9860,23935297
2024-01-29,8750,10130,8480,9110,11922948
2024-01-26,9110,9150,8810,8900,1534543
2024-01-25,9040,10250,9030,9180,10467306
2024-01-24,7500,9400,7470,9000,10850132
2024-01-23,7360,7540,7360,7490,130114
2024-01-22,7510,7540,7400,7410,191562
2024-01-19,7550,7620,7450,7510,147719
2024-01-18,7610,7620,7520,7550,91328
2024-01-17,7620,7740,7560,7560,143805
2024-01-16,7770,7820,7590,7680,90154
2024-01-15,7790,7840,7620,7770,161572
2024-01-12,7890,7950,7760,7790,205282
2024-01-11,7930,7980,7830,7920,116349
2024-01-10,8000,8020,7900,7900,120731
