Date,Open,High,Low,Close,Volume
2022-01-03,1199.78,1208.00,1196.00,1199.78,3952300
2022-01-04,1208.00,1229.91,1196.00,1229.91,4957800
2022-01-05,1229.00,1243.00,1221.00,1243.00,3985400
2022-01-06,1234.00,1254.00,1223.00,1254.00,4573200
2022-01-07,1254.00,1274.00,1245.00,1274.00,3890600
2022-01-10,1285.00,1300.00,1276.00,1300.00,4021500
2022-01-11,1302.00,1318.00,1293.00,1318.00,3547800
2022-01-12,1320.00,1334.00,1311.00,1334.00,3221400
2022-01-13,1328.00,1339.00,1315.00,1339.00,2989700
2022-01-14,1340.00,1354.00,1327.00,1354.00,3156200
2022-01-18,1350.00,1368.00,1341.00,1368.00,3487500
2022-01-19,1365.00,1379.00,1352.00,1379.00,3298400
2022-01-20,1375.00,1389.00,1362.00,1389.00,3654700
2022-01-21,1385.00,1398.00,1371.00,1398.00,4125600
2022-01-24,1392.00,1407.00,1378.00,1407.00,4587300
2022-01-25,1405.00,1421.00,1391.00,1421.00,3956800
2022-01-26,1418.00,1433.00,1404.00,1433.00,3654200
2022-01-27,1430.00,1445.00,1416.00,1445.00,4325600
2022-01-28,1442.00,1458.00,1428.00,1458.00,4687400
2022-01-31,1455.00,1471.00,1441.00,1471.00,3956200
