name,code,market,par_value,total_shrs
마이크로컨텍솔,098120,KOSDAQ,500,8312766
포스코엠텍,009520,KOSDAQ GLOBAL,500,41642703
AJ네트웍스,095570,KOSPI,1000,45252759
AK홀딩스,006840,KOSPI,5000,13247561
BGF리테일,282330,KOSPI,1000,17283906
BGF,027410,KOSPI,1000,95716791
BNK금융지주,138930,KOSPI,5000,318383519
BYC우,001465,KOSPI,500,2153850
BYC,001460,KOSPI,500,6246150
CJ우,001045,KOSPI,5000,2260223
CJ4우(전환),00104K,KOSPI,5000,4226512
CJ,001040,KOSPI,5000,29176998
CJ씨푸드1우,011155,KOSPI,500,200000
CJ씨푸드,011150,KOSPI,500,35930773
CMG제약,058820,KOSDAQ,500,143056533
CS홀딩스,000590,KOSPI,5000,1154482
DB,012030,KOSPI,500,201173933
DB손해보험,005830,KOSPI,500,70800000
DB증권,016610,KOSPI,5000,42446389
DB하이텍,000990,KOSPI,5000,44398588
DI동일,001530,KOSPI,500,20334136
DL우,000215,KOSPI,5000,1686115
DL,000210,KOSPI,5000,20955884
DL이앤씨우,37550K,KOSPI,5000,2113885
DL이앤씨2우(전환),37550L,KOSPI,5000,2111951
DL이앤씨,375500,KOSPI,5000,38693623
DSR,155660,KOSPI,500,16000000
DSR제강,069730,KOSPI,500,14400000
DS단석,017860,KOSPI,500,17584212
E1,017940,KOSPI,5000,6860000
ESR켄달스퀘어리츠,365550,KOSPI,1000,213089000
ES큐브,050120,KOSDAQ,5000,13564086
F&F,383220,KOSPI,100,38307075
F&F홀딩스,007700,KOSPI,500,39114367
GS우,078935,KOSPI,5000,1784826
GS건설,006360,KOSPI,5000,85581490
GS,078930,KOSPI,5000,92915378
HDC,012630,KOSPI,5000,59741721
HDC현대산업개발,294870,KOSPI,5000,65907330
HJ중공업,097230,KOSPI,5000,83274281
HL D&I,014790,KOSPI,5000,37858601
HLB이노베이션,024850,KOSDAQ,500,144304123
HL만도,204320,KOSPI,1000,46957120
HL홀딩스,060980,KOSPI,5000,9403877
HS애드,035000,KOSPI,1000,16567409
IHQ,003560,KOSPI,500,7083730
INVENI,015360,KOSPI,5000,6000000
JB금융지주,175330,KOSPI,5000,193907972
JW생명과학,234080,KOSPI,2500,15834554
JW중외제약우,001065,KOSPI,2500,341951
JW중외제약2우B,001067,KOSPI,2500,209973
JW중외제약,001060,KOSPI,2500,23285930
JW홀딩스,096760,KOSPI,500,73924942
KB금융,105560,KOSPI,5000,381462103
KB스타리츠,432320,KOSPI,500,101414285
KB오토시스,024120,KOSDAQ,500,11500000
KCTC,009070,KOSPI,500,30000000
KD,044180,KOSDAQ,500,26717799
KG모빌리티,003620,KOSPI,1000,202374912
KG스틸,016380,KOSPI,5000,100008897
KG케미칼,001390,KOSPI,1000,68469040
KH 필룩스,033180,KOSPI,500,5204004
KISCO홀딩스,001940,KOSPI,1000,14176380
